"Severity","ThreadID","Date","Time","Application","Message"
"INFO","Thread-2307","09/07/2015","11:29:18","remote-client","Price Drop Alerts!"
"INFO","Thread-2309","09/07/2015","11:29:28","remote-client","Price Drop Alerts!"
"INFO","Thread-2312","09/07/2015","11:29:35","remote-client","Price Drop Alerts!"
"INFO","Thread-2310","09/07/2015","11:29:38","remote-client","Price Drop Alerts!"
"INFO","Thread-5447","09/10/2015","08:03:48","remote-client","Error Page"
"INFO","Thread-7751","09/11/2015","06:36:10","remote-client","Error Page"
"INFO","Thread-9246","09/11/2015","19:40:57","remote-client","Error Page"
"INFO","Thread-2190","09/16/2015","07:49:52","remote-client","Error Page"
"INFO","Thread-5186","09/17/2015","15:43:56","remote-client","Error Page"
"INFO","Thread-5450","09/17/2015","17:42:36","remote-client","Error Page"
"INFO","Thread-965","09/19/2015","10:40:45","remote-client","FindTrackBuy.com. Password Reset"
"INFO","Thread-620","09/23/2015","08:21:02","remote-client","Error Page"
"INFO","Thread-2717","09/24/2015","04:44:54","remote-client","Error Page"
"INFO","Thread-7211","09/26/2015","05:54:35","remote-client","Error Page"
"INFO","Thread-865","09/30/2015","10:27:31","remote-client","Error Page"
"INFO","Thread-5283","10/05/2015","22:25:40","remote-client","Error Page"
"INFO","Thread-7988","10/07/2015","04:23:34","remote-client","FindTrackBuy.com. Password Reset"
"INFO","Thread-8356","10/07/2015","08:18:14","remote-client","Error Page"
"INFO","Thread-8359","10/07/2015","08:18:42","remote-client","Error Page"
"ERROR","Thread-12268","10/08/2015","11:48:30","remote-client","Welcome to FindTrackBuy.com!;mail.quirkycrackers.com timeout occurred after 30 seconds while sending mail message
javax.mail.MessagingException: timeout occurred after 30 seconds while sending mail message
	at lucee.runtime.net.smtp.SMTPClient._send(SMTPClient.java:755)
	at lucee.runtime.spooler.mail.MailSpoolerTask.execute(MailSpoolerTask.java:110)
	at lucee.runtime.spooler.SpoolerTaskSupport._execute(SpoolerTaskSupport.java:97)
	at lucee.runtime.spooler.SpoolerEngineImpl.execute(SpoolerEngineImpl.java:571)
	at lucee.runtime.spooler.SpoolerEngineImpl$TaskThread.run(SpoolerEngineImpl.java:509)
:0;mail.quirkycrackers.com timeout occurred after 30 seconds while sending mail message
javax.mail.MessagingException: timeout occurred after 30 seconds while sending mail message
	at lucee.runtime.net.smtp.SMTPClient._send(SMTPClient.java:755)
	at lucee.runtime.spooler.mail.MailSpoolerTask.execute(MailSpoolerTask.java:110)
	at lucee.runtime.spooler.SpoolerTaskSupport._execute(SpoolerTaskSupport.java:97)
	at lucee.runtime.spooler.SpoolerEngineImpl.execute(SpoolerEngineImpl.java:571)
	at lucee.runtime.spooler.SpoolerEngineImpl$TaskThread.run(SpoolerEngineImpl.java:509)
:0
	at lucee.runtime.net.smtp.SMTPClient._send(SMTPClient.java:755):755
	at lucee.runtime.spooler.mail.MailSpoolerTask.execute(MailSpoolerTask.java:110):110
	at lucee.runtime.spooler.SpoolerTaskSupport._execute(SpoolerTaskSupport.java:97):97
	at lucee.runtime.spooler.SpoolerEngineImpl.execute(SpoolerEngineImpl.java:571):571
	at lucee.runtime.spooler.SpoolerEngineImpl$TaskThread.run(SpoolerEngineImpl.java:509):509
"
"ERROR","Thread-12279","10/08/2015","11:53:30","remote-client","Welcome to FindTrackBuy.com!;mail.quirkycrackers.com Can't send command to SMTP host;
  nested exception is:
	java.net.SocketException: Broken pipe
	at com.sun.mail.smtp.SMTPTransport.sendCommand(SMTPTransport.java:1365):1365
	at com.sun.mail.smtp.SMTPTransport.sendCommand(SMTPTransport.java:1353):1353
	at com.sun.mail.smtp.SMTPTransport.issueSendCommand(SMTPTransport.java:1316):1316
	at com.sun.mail.smtp.SMTPTransport.mailFrom(SMTPTransport.java:906):906
	at com.sun.mail.smtp.SMTPTransport.sendMessage(SMTPTransport.java:535):535
	at lucee.runtime.net.smtp.SMTPSender.run(SMTPSender.java:61):61
:0;mail.quirkycrackers.com Can't send command to SMTP host;
  nested exception is:
	java.net.SocketException: Broken pipe
	at com.sun.mail.smtp.SMTPTransport.sendCommand(SMTPTransport.java:1365):1365
	at com.sun.mail.smtp.SMTPTransport.sendCommand(SMTPTransport.java:1353):1353
	at com.sun.mail.smtp.SMTPTransport.issueSendCommand(SMTPTransport.java:1316):1316
	at com.sun.mail.smtp.SMTPTransport.mailFrom(SMTPTransport.java:906):906
	at com.sun.mail.smtp.SMTPTransport.sendMessage(SMTPTransport.java:535):535
	at lucee.runtime.net.smtp.SMTPSender.run(SMTPSender.java:61):61
:0
	at com.sun.mail.smtp.SMTPTransport.sendCommand(SMTPTransport.java:1365):1365
	at com.sun.mail.smtp.SMTPTransport.sendCommand(SMTPTransport.java:1353):1353
	at com.sun.mail.smtp.SMTPTransport.issueSendCommand(SMTPTransport.java:1316):1316
	at com.sun.mail.smtp.SMTPTransport.mailFrom(SMTPTransport.java:906):906
	at com.sun.mail.smtp.SMTPTransport.sendMessage(SMTPTransport.java:535):535
	at lucee.runtime.net.smtp.SMTPSender.run(SMTPSender.java:61):61
"
"INFO","Thread-12442","10/08/2015","12:53:47","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-12718","10/08/2015","14:26:45","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-12734","10/08/2015","14:30:43","remote-client","FindTrackBuy.com. Password Reset"
"INFO","Thread-12736","10/08/2015","14:30:46","remote-client","FindTrackBuy.com. Password Reset"
"INFO","Thread-1002","10/09/2015","06:32:00","remote-client","Error Page"
"INFO","Thread-1006","10/09/2015","06:32:41","remote-client","Error Page"
"INFO","Thread-1009","10/09/2015","06:32:57","remote-client","Error Page"
"INFO","Thread-1014","10/09/2015","06:34:28","remote-client","Error Page"
"INFO","Thread-1020","10/09/2015","06:36:07","remote-client","Error Page"
"INFO","Thread-2753","10/09/2015","18:08:56","remote-client","Error Page"
"INFO","Thread-2758","10/09/2015","18:10:02","remote-client","Error Page"
"INFO","Thread-4958","10/11/2015","15:35:37","remote-client","Error Page"
"INFO","Thread-8874","10/12/2015","17:46:23","remote-client","Error Page"
"INFO","Thread-12587","10/13/2015","16:50:29","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-20495","10/15/2015","16:30:27","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-653","10/16/2015","04:29:59","remote-client","Error Page"
"INFO","Thread-7809","10/18/2015","06:11:52","remote-client","Error Page"
"INFO","Thread-8269","10/18/2015","09:50:41","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-201","10/20/2015","00:41:38","remote-client","Error Page"
"INFO","Thread-10412","10/23/2015","22:12:34","remote-client","Error Page"
"INFO","Thread-11383","10/24/2015","05:48:54","remote-client","Error Page"
"INFO","Thread-16007","10/25/2015","17:23:21","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-17379","10/26/2015","03:50:17","remote-client","Error Page"
"INFO","Thread-18032","10/26/2015","08:02:57","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-19296","10/26/2015","15:03:48","remote-client","Error Page"
"INFO","Thread-19301","10/26/2015","15:05:49","remote-client","Error Page"
"INFO","Thread-19602","10/26/2015","16:53:16","remote-client","Welcome to FindTrackBuy.com!"
"INFO","Thread-954","10/27/2015","06:53:23","remote-client","Error Page"
"INFO","Thread-998","10/27/2015","07:07:47","remote-client","Error Page"
"INFO","Thread-1896","10/27/2015","12:40:41","remote-client","Error Page"
"INFO","Thread-1052","10/28/2015","03:36:40","remote-client","Error Page"
"INFO","Thread-7751","10/29/2015","21:23:08","remote-client","Error Page"
"INFO","Thread-17871","11/02/2015","00:06:40","remote-client","Error Page"
"INFO","Thread-17873","11/02/2015","00:06:43","remote-client","Error Page"
"INFO","Thread-28186","11/04/2015","22:52:42","remote-client","Error Page"
"INFO","Thread-30671","11/05/2015","16:26:00","remote-client","Error Page"
"INFO","Thread-1487","11/09/2015","09:31:44","remote-client","Error Page"
"INFO","Thread-32173","11/15/2015","06:23:56","remote-client","Error Page"
"INFO","Thread-34411","11/18/2015","21:22:23","remote-client","Error Page"
"INFO","Thread-201064","11/26/2015","13:45:53","remote-client","Error Page"
"INFO","Thread-201109","11/26/2015","13:48:26","remote-client","Error Page"
"INFO","Thread-303297","11/30/2015","11:59:01","remote-client","Error Page"
"INFO","Thread-366092","12/02/2015","19:29:27","remote-client","Error Page"
"INFO","Thread-78227","12/20/2015","19:33:29","remote-client","Error Page"
"INFO","Thread-11902","12/24/2015","07:01:41","remote-client","Error Page"
"INFO","Thread-115583","12/26/2015","15:44:50","remote-client","Error Page"
"INFO","Thread-218666","12/28/2015","22:00:01","remote-client","Error Page"
"INFO","Thread-331380","12/31/2015","02:35:52","remote-client","Error Page"
"INFO","Thread-102487","01/04/2016","11:42:34","remote-client","Error Page"
"INFO","Thread-105066","01/04/2016","12:49:34","remote-client","Error Page"
"INFO","Thread-200310","01/10/2016","03:47:32","remote-client","Error Page"
"INFO","Thread-416123","01/13/2016","22:53:55","remote-client","Error Page"
"INFO","Thread-89875","01/15/2016","20:38:40","remote-client","Error Page"
"INFO","Thread-1187","01/18/2016","01:50:43","remote-client","Error Page"
"INFO","Thread-47912","01/28/2016","03:03:22","remote-client","Error Page"
"INFO","Thread-216275","01/31/2016","21:08:36","remote-client","Error Page"
"INFO","Thread-130413","02/05/2016","08:42:53","remote-client","Error Page"
"INFO","Thread-3481","02/09/2016","02:14:57","remote-client","Error Page"
"INFO","Thread-78192","02/11/2016","13:49:07","remote-client","Error Page"
"INFO","Thread-46141","02/16/2016","20:06:25","remote-client","Error Page"
"INFO","Thread-7909","02/19/2016","05:05:14","remote-client","Error Page"
"INFO","Thread-238373","02/23/2016","11:31:41","remote-client","Error Page"
"INFO","Thread-42090","02/27/2016","13:50:32","remote-client","Error Page"
"INFO","Thread-342183","03/08/2016","13:59:56","remote-client","Error Page"
"INFO","Thread-51269","03/13/2016","18:58:14","remote-client","Error Page"
"INFO","Thread-90317","03/18/2016","11:05:19","remote-client","Error Page"
"INFO","Thread-57544","03/19/2016","13:22:22","remote-client","Error Page"
"INFO","Thread-89597","03/20/2016","02:59:56","remote-client","Error Page"
"INFO","Thread-21322","03/22/2016","13:21:54","remote-client","Error Page"
"INFO","Thread-137844","03/26/2016","07:24:31","remote-client","Error Page"
"INFO","Thread-66547","03/29/2016","22:58:58","remote-client","Error Page"
"INFO","Thread-161247","04/24/2016","20:33:55","remote-client","Error Page"
"INFO","Thread-287887","04/27/2016","00:32:37","remote-client","Error Page"
"INFO","Thread-16586","05/21/2016","13:36:51","remote-client","Error Page"
"INFO","Thread-96015","05/23/2016","09:28:48","remote-client","Error Page"
"INFO","Thread-38443","05/26/2016","22:38:25","remote-client","Error Page"
"INFO","Thread-18894","06/08/2016","14:23:09","remote-client","Error Page"
"INFO","Thread-106274","06/13/2016","10:59:18","remote-client","Error Page"
"INFO","Thread-204900","06/25/2016","04:58:00","remote-client","Error Page"
"INFO","Thread-118757","07/04/2016","21:54:16","remote-client","Error Page"
"INFO","Thread-104258","07/09/2016","06:37:28","remote-client","Error Page"
"INFO","Thread-43139","07/12/2016","21:43:12","remote-client","Error Page"
"INFO","Thread-281477","07/17/2016","04:53:40","remote-client","Error Page"
"INFO","Thread-181814","07/26/2016","19:57:36","remote-client","Error Page"
"INFO","Thread-285306","07/28/2016","14:31:02","remote-client","FindTrackBuy.com. Password Reset"
"INFO","Thread-321360","07/29/2016","10:00:11","remote-client","Error Page"
"INFO","Thread-63063","08/08/2016","15:14:11","remote-client","Error Page"
"INFO","Thread-21185","08/13/2016","08:48:52","remote-client","Error Page"
"INFO","Thread-21664","08/13/2016","09:05:13","remote-client","Error Page"
"INFO","Thread-22045","08/13/2016","09:15:22","remote-client","Error Page"
"INFO","Thread-98446","08/14/2016","16:29:14","remote-client","Error Page"
"INFO","Thread-9875","08/20/2016","13:37:00","remote-client","Error Page"
"INFO","Thread-84284","08/23/2016","21:52:16","remote-client","Error Page"
"INFO","Thread-10908","09/02/2016","12:39:52","remote-client","Error Page"
"INFO","Thread-24961","09/04/2016","02:11:07","remote-client","Error Page"
"INFO","Thread-1397","09/15/2016","00:32:05","remote-client","Error Page"
"INFO","Thread-15918","09/23/2016","09:36:43","remote-client","Error Page"
"INFO","Thread-146264","10/15/2016","06:12:23","remote-client","Error Page"
"INFO","Thread-229702","10/17/2016","08:31:16","remote-client","Error Page"
"INFO","Thread-229830","10/17/2016","08:35:45","remote-client","FindTrackBuy.com. Password Reset"
"INFO","Thread-303511","10/19/2016","02:24:57","remote-client","Error Page"
"INFO","Thread-499652","10/23/2016","02:56:15","remote-client","Error Page"
"INFO","Thread-538611","10/24/2016","06:11:31","remote-client","Error Page"
"INFO","Thread-67952","10/27/2016","06:05:19","remote-client","Error Page"
"INFO","Thread-33776","11/07/2016","13:46:17","remote-client","Error Page"
"INFO","Thread-56500","11/19/2016","15:34:20","remote-client","Error Page"
"INFO","Thread-125459","11/21/2016","10:33:25","remote-client","Error Page"
"INFO","Thread-312172","12/26/2016","20:36:53","remote-client","Error Page"
"INFO","Thread-583355","01/02/2017","13:28:05","remote-client","Error Page"
"INFO","Thread-25129","01/07/2017","19:00:05","remote-client","Error Page"
"INFO","Thread-3828","01/26/2017","07:10:40","remote-client","Error Page"
"INFO","Thread-4111","01/26/2017","07:17:18","remote-client","Error Page"
"INFO","Thread-4183","01/26/2017","07:18:28","remote-client","Error Page"
"INFO","Thread-4205","01/26/2017","07:19:15","remote-client","Error Page"
"INFO","Thread-4210","01/26/2017","07:19:22","remote-client","Error Page"
"INFO","Thread-4219","01/26/2017","07:19:43","remote-client","Error Page"
"INFO","Thread-4265","01/26/2017","07:22:39","remote-client","Error Page"
"INFO","Thread-15471","01/26/2017","18:16:54","remote-client","Error Page"
"INFO","Thread-15475","01/26/2017","18:17:02","remote-client","Error Page"
"INFO","Thread-15481","01/26/2017","18:17:08","remote-client","Error Page"
"INFO","Thread-15485","01/26/2017","18:17:13","remote-client","Error Page"
"INFO","Thread-15491","01/26/2017","18:17:17","remote-client","Error Page"
"INFO","Thread-15495","01/26/2017","18:17:20","remote-client","Error Page"
"INFO","Thread-15499","01/26/2017","18:17:23","remote-client","Error Page"
"INFO","Thread-15503","01/26/2017","18:17:28","remote-client","Error Page"
"INFO","Thread-15507","01/26/2017","18:17:34","remote-client","Error Page"
"INFO","Thread-15512","01/26/2017","18:17:37","remote-client","Error Page"
