"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","Thread-26025","11/13/2015","19:01:52","scope-context","Could not create connection to database server.
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method):-2
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.Util.getInstance(Util.java:386):386
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:1013):1013
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:987):987
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:982):982
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:927):927
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2470):2470
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor84.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:726):726
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-26025","11/13/2015","19:01:52","session storage","Could not create connection to database server.
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method):-2
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.Util.getInstance(Util.java:386):386
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:1013):1013
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:987):987
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:982):982
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:927):927
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2470):2470
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor84.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:726):726
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-26025","11/13/2015","19:02:05","scope-context","Could not create connection to database server.
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method):-2
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.Util.getInstance(Util.java:386):386
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:1013):1013
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:987):987
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:982):982
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:927):927
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2470):2470
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor84.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:727):727
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-26025","11/13/2015","19:02:05","client storage","Could not create connection to database server.
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method):-2
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.Util.getInstance(Util.java:386):386
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:1013):1013
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:987):987
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:982):982
	at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:927):927
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2470):2470
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor84.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:727):727
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-9817","03/13/2016","04:19:02","scope-context","Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
	at sun.reflect.GeneratedConstructorAccessor182.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116):1116
	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:348):348
	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2391):2391
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2428):2428
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor85.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:726):726
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-9817","03/13/2016","04:19:02","session storage","Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
	at sun.reflect.GeneratedConstructorAccessor182.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116):1116
	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:348):348
	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2391):2391
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2428):2428
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor85.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:726):726
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-9817","03/13/2016","04:19:02","scope-context","Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
	at sun.reflect.GeneratedConstructorAccessor182.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116):1116
	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:348):348
	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2391):2391
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2428):2428
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor85.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:727):727
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-9817","03/13/2016","04:19:02","client storage","Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
	at sun.reflect.GeneratedConstructorAccessor182.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116):1116
	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:348):348
	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2391):2391
	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2428):2428
	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2213):2213
	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:797):797
	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47):47
	at sun.reflect.GeneratedConstructorAccessor85.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:389):389
	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:305):305
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at java.sql.DriverManager.getConnection(Unknown Source):-1
	at lucee.commons.db.DBUtil.getConnection(DBUtil.java:111):111
	at lucee.runtime.db.DatasourceConnectionPool.loadDatasourceConnection(DatasourceConnectionPool.java:85):85
	at lucee.runtime.db.DatasourceConnectionPool.getDatasourceConnection(DatasourceConnectionPool.java:78):78
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:69):69
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:727):727
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-149939","04/07/2016","17:50:35","scope-context","
	at sun.reflect.GeneratedConstructorAccessor205.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116):1116
	at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:4024):4024
	at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:2490):2490
	at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:2651):2651
	at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2683):2683
	at com.mysql.jdbc.PreparedStatement.executeInternal(PreparedStatement.java:2144):2144
	at com.mysql.jdbc.PreparedStatement.execute(PreparedStatement.java:1379):1379
	at lucee.runtime.db.driver.state.StateUtil.execute(StateUtil.java:141):141
	at lucee.runtime.db.driver.state.StatePreparedStatement.execute(StatePreparedStatement.java:135):135
	at lucee.runtime.type.util.QueryUtil.execute(QueryUtil.java:240):240
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:252):252
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:204):204
	at lucee.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:186):186
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:72):72
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:727):727
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
"ERROR","Thread-149939","04/07/2016","17:50:35","client storage","
	at sun.reflect.GeneratedConstructorAccessor205.newInstance(Unknown Source):-1
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source):-1
	at java.lang.reflect.Constructor.newInstance(Unknown Source):-1
	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411):411
	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116):1116
	at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:4024):4024
	at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:2490):2490
	at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:2651):2651
	at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2683):2683
	at com.mysql.jdbc.PreparedStatement.executeInternal(PreparedStatement.java:2144):2144
	at com.mysql.jdbc.PreparedStatement.execute(PreparedStatement.java:1379):1379
	at lucee.runtime.db.driver.state.StateUtil.execute(StateUtil.java:141):141
	at lucee.runtime.db.driver.state.StatePreparedStatement.execute(StatePreparedStatement.java:135):135
	at lucee.runtime.type.util.QueryUtil.execute(QueryUtil.java:240):240
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:252):252
	at lucee.runtime.type.QueryImpl.<init>(QueryImpl.java:204):204
	at lucee.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:186):186
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:72):72
	at lucee.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:56):56
	at lucee.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:59):59
	at lucee.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:44):44
	at lucee.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:727):727
	at lucee.runtime.engine.Controler.control(Controler.java:263):263
	at lucee.runtime.engine.Controler.control(Controler.java:214):214
	at lucee.runtime.engine.Controler.access$000(Controler.java:59):59
	at lucee.runtime.engine.Controler$ControlerThread.run(Controler.java:110):110
"
